Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,1,2A,13,54216,0,0,3,9454,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH1 81517,3,1,1,2E,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,2,2B,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH1 81517,3,1,2,2F,0,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH2 81517,1,1,3,4A,8,4842,8,4842,7,14451,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH2 81517,2,1,3,4E,7,25164,24,47543,12,35908,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH2 81517,1,1,4,4B,0,0,2,1568,6,6472,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH2 81517,2,1,4,4F,3,1726,20,79539,17,34332,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH3 81517,1,1,5,8B,29,43072,38,51676,7,6192,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH3 81517,1,1,6,8D,9,8053,15,19627,3,8918,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH3 81517,2,1,6,8F,0,0,6,9293,4,9357,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH4 81517,"1,2",1,7,2C,0,0,2,1384,1,606,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH4 81517,3,1,7,2H,0,0,6,25197,1,1642,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH4 81517,"1,2",1,8,2D,9,30535,2,4376,19,51555,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH4 81517,3,1,8,2G,0,0,0,0,5,4591,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH5 81517,"1,2",1,9,4C,22,56275,23,79235,16,16644,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH5 81517,"1,2",1,10,4D,30,100257,31,107650,9,17463,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH6 81517,1,1,11,8E,10,19808,22,75351,1,2507,,,,,,,,,,,,,,,,,,,,,
8/15/17,RH6 81517,1,1,12,8G,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH1 81617,1,1,1,2I,3,10580,4,33379,8,25746,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH1 81617,2,1,1,2M,1,1232,1,207,1,2471,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH1 81617,1,1,2,2J,0,0,10,34284,0,0,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH1 81617,2,1,2,2N,1,871,5,4960,4,4569,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH2 81617,1,1,3,4I,26,23452,14,15231,2,2509,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH2 81617,2,1,3,4M,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH2 81617,1,1,4,4K,14,54898,2,728,2,3358,,,,,,,also--right around 8:42 there is a great fight,,,,,,,,,,,,,,
8/16/17,RH2 81617,2,1,4,4N,2,1201,28,131649,11,55142,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH3 81617,2,1,5,8J,1,392,3,1260,0,0,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH3 81617,3,1,5,8O,1,486,31,54545,1,2499,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH3 81617,2,1,6,8I,0,0,20,37854,0,0,,,,,,,,,,,,,,,,,,,,,
8/16/17,RH3 81617,3,1,6,8P,11,7431,10,11953,0,0,,,,,,,,,,,,,,,,,,,,,
