Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Leftover Food,Food Input,Proportion Eaten Food,Leftover Novel,Novel Input,Proportion Eaten Novel,Notes,,,,,,,,
8/17/17,RH1 81717,1,2,1,2A,Bead,0,4,1,4,4,0,,,,,,,,,
9/30/17,RH1,1,2,1,2A_2,Bead,0,4,1,4,4,0,,,,,,,,,
10/9/17,RH1,1,2,1,2A_3,Bead,0,4,1,4,4,0,,,,,,,,,
8/17/17,RH1 81717,1,2,2,2B,Bead,0,4,1,4,4,0,,,,,,,,,
9/30/17,RH1,1,2,2,2B_2,Bead,0,4,1,4,4,0,,,,,,,,,
10/9/17,RH1,1,2,2,2B_3,Bead,0,4,1,4,4,0,,,,,,,,,
8/17/17,RH4 81717,"1,2,3,4,5,6,7,8,9,10,11,12",2,7,2C,Bead,2,4,0.5,4,4,0,"*Camera malfuctioning, pieced video, might be missing a seconds/minutes between chuncks",,,,,,,,
9/30/17,RH4,1,2,7,2C_2,Bead,0,4,1,4,4,0,,,,,,,,,
10/9/17,RH4,1,2,7,2C_3,Bead,0,4,1,4,4,0,,,,,,,,,
8/17/17,RH4 81717,"1,2,3,4,5,6,7,8,9,10,11,12",2,8,2D,Bead,4,4,0,4,4,0,"*Camera malfuctioning, pieced video, might be missing a seconds/minutes between chuncks",,,,,,,,
9/30/17,RH4,1,2,8,2D_2,Bead,0,4,1,4,4,0,,,,,,,,,
10/9/17,RH4,1,2,8,2D_3,Bead,3,4,0.25,4,4,0,,,,,,,,,
9/30/17,RH1,2,2,1,2E_2,Bead,2,4,0.5,4,4,0,,,,,,,,,
10/9/17,RH1,2,2,1,2E_3,Bead,1,4,0.75,4,4,0,,,,,,,,,
9/30/17,RH1,2,2,2,2F_2,Bead,1,4,0.75,4,4,0,,,,,,,,,
10/9/17,RH1,2,2,2,2F_3,Bead,1,4,0.75,4,4,0,,,,,,,,,
8/17/17,RH1 81717,2,2,8,2G,Bead,3,4,0.25,4,4,0,*Filmed on RH1,,,,,,,,
9/30/17,RH4,2,2,7,2G_2,Bead,2,4,0.5,4,4,0,,,,,,,,,
10/9/17,RH4,2,2,7,2G_3,Bead,3,4,0.25,4,4,0,,,,,,,,,
8/17/17,RH1 81717,2,2,7,2H,Bead,2,4,0.5,4,4,0,*Filmed on RH1,,,,,,,,
10/9/17,RH4,2,2,8,2H_3,Bead,2,4,0.5,4,4,0,,,,,,,,,
10/1/17,RH1,1,2,1,2I_2,Bead,2,4,0.5,4,4,0,,,,,,,,,
10/10/17,RH1,1,2,1,2I_3,Bead,0,4,1,4,4,0,,,,,,,,,
8/18/17,RH1,1,2,2,2J,Bead,0,4,1,4,4,0,,,,,,,,,
10/1/17,RH1,1,2,2,2J_2,Bead,0,4,1,4,4,0,,,,,,,,,
8/18/17,RH4,1,2,8,2L,Bead,1,4,0.75,4,4,0,,,,,,,,,
10/1/17,RH4,1,2,7,2L_2,Bead,4,4,0,4,4,0,,,,,,,,,
8/18/17,RH1,2,2,1,2M,Bead,1,4,0.75,4,4,0,,,,,,,,,
10/1/17,RH4,1,2,8,2M_2,Bead,0,4,1,4,4,0,,,,,,,,,
8/18/17,RH1,2,2,2,2N,Bead,3,4,0.25,4,4,0,,,,,,,,,
10/1/17,RH1,2,2,1,2N_2,Bead,2,4,0.5,4,4,0,,,,,,,,,
8/18/17,RH4,2,2,7,2O,Bead,3,4,0.25,4,4,0,,,,,,,,,
