Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Novel Start,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,Drop,Drop-30Secs,Start Activity,activity_numchases,activity_timechases,novel_numchases,novel_timechases,,Done?,,,,,,,,,
8/18/17,RH1,1,2,2,2J,Bead,27:24:00,80,300,,,,,,,8:42*,8:12,3:12,0,0,6,4846,as far as I can tell the drop doesn't happen. We say drop for tank two but then nothing happens. You can hear the other drop go down but this one doesn't…,1,,,,,,,,,
8/18/17,RH1,2,2,1,2M,Bead,24:35:00,198,202,,,,,,,9:16,8:46,3:46,0,0,0,0,,1,,,,,,,,,
8/18/17,RH1,2,2,2,2N,Bead,25:00:00,7,32,,,,,,,9:16,8:46,3:46,0,0,0,0,,1,,,,,,,,,
8/19/17,RH1,1,3,2,2B,Plastic,31:00:00,277,300,,,,,,,10:52,10:22,5:22,8,65474,0,0,,1,,,,,,,,,
8/20/17,RH1,1,3,2,2J,Plastic,30:30:00,93,159,,,,,,,13:02,12:32,7:32,3,2681,0,0,,1,,,,,,,,,
8/20/17,RH1,2,3,1,2M,Plastic,24:16:00,11,300,,,,,,,9:08,8:38,3:38,0,0,0,0,,1,,,,,,,,,
8/20/17,RH1,2,3,2,2N,Plastic,24:51:00,300,300,,,,,,,9:08,8:38,3:38,0,0,2,2945,,1,,,,,,,,,
9/28/17,RH1,1,1,1,2A_2,Brine,33:25:00,7,76,,,,,,,11:11,10:41,5:41,0,0,0,0,,1,,,,,,,,,
9/28/17,RH1,1,1,2,2B_2,Brine,34:03:00,5,300,,,,,,,11:11,10:41,5:41,3,2278,3,32767,,1,,,,,,,,,
9/28/17,RH1,2,1,1,2E_2,Brine,28:11:00,8,10,,,,,,,8:01,7:31,2:31,1,9735,0,0,,1,,,,,,,,,
9/28/17,RH1,2,1,2,2F_2,Brine,28:52:00,300,300,,,,,,,8:01,7:31,2:31,0,0,5,16095,,1,,,,,,,,,
9/29/17,RH1,3,1,1,2N_2,Brine,28:42:00,5,31,,,,,,,9:42,9:12,4:12,4,2133,18,50684,,1,,,,,,,,,
9/29/17,RH1,3,1,2,2O_2,Brine,29:07:00,8,14,,,,,,,9:42,9:12,4:12,0,0,0,0,,1,,,,,,,,,
9/29/17,RH1,"1,2",1,1,2I_2,Brine,35:17:00,9,29,,,,,,,16:42,16:12,11:12,25,101152,16,49098,,1,,,,,,,,,
9/29/17,RH1,"1,2",1,2,2J_2,Brine,36:11:00,10,300,,,,,,,16:42,16:12,11:12,0,0,16,73823,,1,,,,,,,,,
9/30/17,RH1,1,2,1,2A_2,Bead,29:00:00,20,300,,,,,,,8:36,8:06,3:06,0,0,0,0,,1,,,,,,,,,
9/30/17,RH1,1,2,2,2B_2,Bead,29:22:00,2,300,,,,,,,8:36,8:06,3:06,10,15251,10,13364,,1,,,,,,,,,
9/30/17,RH1,2,2,1,2E_2,Bead,30:50:00,9,30,,,,,,,10:26,9:56,4:56,0,0,0,0,,1,,,,,,,,,
9/30/17,RH1,2,2,2,2F_2,Bead,31:24:00,125,300,,,,,,,10:26,9:56,4:56,0,0,4,5093,,1,,,,,,,,,
10/1/17,RH1,1,2,1,2I_2,Bead,29:19:00,83,300,,,,,,,10:11,9:41,4:41,24,56707,21,100812,,1,,,,,,,,,
10/1/17,RH1,1,2,2,2J_2,Bead,29:52:00,5,300,,,,,,,10:11,9:41,4:41,2,1502,0,0,,1,,,,,,,,,
10/1/17,RH1,2,2,1,2N_2,Bead,30:15:00,40,300,,,,,,,10:42,10:12,5:12,0,0,34,91441,,1,,,,,,,,,
10/1/17,RH1,2,2,2,2O_2,Bead,30:39:00,63,300,,,,,,,10:42,10:12,5:12,0,0,0,0,,1,,,,,,,,,
10/2/17,RH1,1,3,1,2A_2,Plastic,28:45:00,230,300,,,,,,,10:28,9:58,4:58,0,0,0,0,,1,,,,,,,,,
10/2/17,RH1,1,3,2,2B_2,Plastic,29:05:00,4,300,,,,,,,10:28,9:58,4:58,9,10915,0,0,,1,,,,,,,,,
10/3/17,RH1,1,3,1,2I_2,Plastic,28:03:00,33,300,,,,,,,9:22,8:52,3:52,7,16182,23,162510,,1,,,,,,,,,
10/3/17,RH1,1,3,2,2J_2,Plastic,28:40:00,7,300,,,,,,,9:22,8:52,3:52,7,11576,0,0,,1,,,,,,,,,
10/3/17,RH1,2,3,1,2N_2,Plastic,27:11:00,16,300,,,,,,,10:14,9:44,4:44,12,30435,17,28484,,1,,,,,,,,,
10/7/17,RH1,1,1,1,2A_3,Brine,29:36:00,7,300,,,,,,,9:21,8:51,3:51,0,0,0,0,,1,,,,,,,,,
10/7/17,RH1,1,1,2,2B_3,Brine,30:00:00,15,19,,,,,,,9:21,8:51,3:51,0,0,21,53078,,1,,,,,,,,,
10/7/17,RH1,2,1,1,2E_3,Brine,29:50:00,9,98,,,,,,,9:24,8:54,3:54,0,0,0,0,,1,,,,,,,,,
10/7/17,RH1,2,1,2,2F_3,Brine,29:44:00,5,300,,,,,,,9:24,8:54,3:54,10,28070,0,0,,1,,,,,,,,,
10/8/17,RH1,1,1,1,2I_3,Brine,25:31:00,218,300,,,,,,,9:04,8:34,3:34,0,0,0,0,,1,,,,,,,,,
10/9/17,RH1,1,2,1,2A_3,Bead,30:42:00,7,300,,,,,,,11:25,10:55,5:55,0,0,0,0,,1,,,,,,,,,
10/9/17,RH1,1,2,2,2B_3,Bead,29:46:00,24,132,,,,,,,11:25,10:55,5:55,8,32909,31,97836,,1,,,,,,,,,
10/9/17,RH1,2,2,1,2E_3,Bead,28:46:00,71,300,,,,,,,10:00,9:30,4:30,0,0,0,0,,1,,,,,,,,,
10/9/17,RH1,2,2,2,2F_3,Bead,29:11:00,4,300,,,,,,,10:00,9:30,4:30,7,23791,0,0,,1,,,,,,,,,
10/10/17,RH1,1,2,1,2I_3,Bead,25:27:00,168,175,,,,,,,8:56,8:26,3:26,0,0,0,0,,1,,,,,,,,,
10/11/17,RH1,1,3,1,2A_3,Plastic,28:58:00,6,11,,,,,,,10:15,9:45,4:45,13,35705,34,69574,,1,,,,,,,,,
10/11/17,RH1,1,3,2,2B_3,Plastic,29:32:00,4,76,,,,,,,10:15,9:45,4:45,16,64931,12,21240,,1,,,,,,,,,
10/11/17,RH1,2,3,1,2E_3,Plastic,26:40:00,300,300,,,,,,,9:48,9:18,4:18,0,0,0,0,,1,,,,,,,,,
10/11/17,RH1,2,3,2,2F_3,Plastic,27:15:00,4,300,,,,,,,9:48,9:18,4:18,2,2591,0,0,,1,,,,,,,,,
10/12/17,RH1,1,3,1,2I_3,Plastic,25:04:00,29,291,,,,,,,8:28,7:58,2:58,0,0,0,0,,1,,,,,,,,,
8/15/17,RH1 81517,3,1,1,2E,Brine,No novel food,NA,NA,,,,,,,10:38,10:08,5:08,0,0,NA,NA,,1,,,,,,,,,
8/15/17,RH1 81517,3,1,2,2F,Brine,No novel food,NA,NA,,,,,,,10:38,10:08,5:08,0,0,NA,NA,,1,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,1,2A,Brine,40:25:00,300,300,,,,,,,16:52,16:22,11:22,13,54216,0,0,,1,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,2,2B,Brine,42:20:00,251,300,,,,,,,16:52,16:22,11:22,0,0,0,0,,1,,,,,,,,,
8/16/17,RH1 81617,1,1,1,2I,Brine,29:05:00,7,103,,,,,,,10:13,9:43,4:43,3,10580,4,33379,,1,,,,,,,,,
8/16/17,RH1 81617,1,1,2,2J,Brine,30:09:00,49,300,,,,,,,10:13,9:43,4:43,0,0,10,34284,,1,,,,,,,,,
8/16/17,RH1 81617,2,1,1,2M,Brine,27:46:00,11,300,,,,,,,9:38,9:08,4:08,1,1232,1,207,,1,,,,,,,,,
8/16/17,RH1 81617,2,1,2,2N,Brine,28:26:00,9,158,,,,,,,9:38,9:08,4:08,1,871,5,4960,drop never falls-time is for tank 1 next door,1,,,,,,,,,
8/17/17,RH1 81717,1,2,1,2A,Bead,30:43:00,300,300,,,,,,,10:16,9:46,4:46,0,0,2,1543,,1,,,,,,,,,
8/17/17,RH1 81717,1,2,2,2B,Bead,30:06:00,54,300,,,,,,,10:16,9:46,4:46,2,5378,0,0,,1,,,,,,,,,
8/17/17,RH1 81717,2,2,8,2G,Bead,23:43,5,300,,,,,,,9:17,8:47,3:47,0,0,32,61506,,1,,,,,,,,,
8/17/17,RH1 81717,2,2,7,2H,Bead,24:14:00,50,300,,,,,,,9:17,8:47,3:47,11,43726,2,11995,,1,,,,,,,,,
8/18/17,RH2,1,2,4,4K,Bead,27:42:00,4,12,300,300,,,,,8:30,8:00,3:00,0,0,2,2495,,1,,,,,,,,,
8/18/17,RH2,2,2,4,4N,Bead,24:57:00,6,10,7,40,,,,,8:39,8:09,3:09,21,70590,25,60969,,1,,,,,,,,,
8/19/17,RH2,1,3,3,4A,Plastic,30:30:00,4,6,NA,NA,,,,,9:41,9:11,4:11,20,33697,24,135137,drop falls in to tank,1,,,,,,,,,
8/20/17,RH2,1,3,4,4K,Plastic,26:09:00,5,5,21,49,,,,,9:58,9:28,4:28,17,46658,10,26384,,1,,,,,,,,,
8/20/17,RH2,2,3,4,4N,Plastic,22:51,3,14,26,91,,,,,8:04,7:34,2:34,2,4999,2,1478,,1,,,,,,,,,
9/28/17,RH2,1,1,3,4A_2,Brine,34:24:00,6,15,300,300,,,,,10:52,10:22,5:22,4,5943,1,1760,,1,,,,,,,,,
9/28/17,RH2,1,1,4,4B_2,Brine,35:08:00,4,6,10,82,,,,,10:52,10:22,5:22,0,0,8,25209,,1,,,,,,,,,
9/28/17,RH2,2,1,3,4E_2,Brine,30:03:00,5,6,8,12,,,,,8:32,8:02,3:02,0,0,7,25140,,1,,,,,,,,,
9/28/17,RH2,2,1,4,4F_2,Brine,30:32:00,3,4,12,43,,,,,8:32,8:02,3:02,0,0,6,13063,,1,,,,,,,,,
9/29/17,RH2,1,1,3,4I_2,Brine,36:32:00,12,18,14,226,,,,,16:22,15:52,10:52,0,0,0,0,,1,,,,,,,,,
9/29/17,RH2,1,1,4,4J_2,Brine,37:07:00,5,30,300,300,,,,,16:22,15:52,10:52,0,0,0,0,,1,,,,,,,,,
9/29/17,RH2,2,1,3,4M_2,Brine,29:16:00,4,4,234,133,,,,,9:13,8:43,3:43,0,0,12,37170,,1,,,,,,,,,
9/29/17,RH2,2,1,4,4O_2,Brine,29:43:00,14,13,33,16,,,,,9:13,8:43,3:43,3,2085,21,35674,,1,,,,,,,,,
9/30/17,RH2,1,2,3,4A_2,Bead,30:28:00,67,124,300,NA,,,,,8:15,7:45,2:45,3,5418,4,3468,,1,,,,,,,,,
9/30/17,RH2,1,2,4,4B_2,Bead,31:08:00,4,4,139,16,,,,,8:15,7:45,2:45,0,0,11,12445,,1,feed tube is untaped,,,,,,,,
9/30/17,RH2,2,2,3,4E_2,Bead,31:31:00,3,6,10,5,,,,,10:07,9:37,4:37,0,0,13,29889,,1,,,,,,,,,
9/30/17,RH2,2,2,4,4F_2,Bead,31:46:00,2,4,300,300,,,,,10:07,9:37,4:37,0,0,34,66666,,1,,,,,,,,,
10/1/17,RH2,1,2,3,4I_2,Bead,29:36:00,24,74,300,300,,,,,10:41,10:11,5:11,0,0,0,0,,1,,,,,,,,,
10/1/17,RH2,2,2,3,4M_2,Bead,30:05:00,3,8,11,81,,,,,10:14,9:44,4:44,1,863,18,43848,,1,,,,,,,,,
10/1/17,RH2,2,2,4,4O_2,Bead,30:26:00,3,4,90,227,,,,,10:14,9:44,4:44,5,4101,34,59755,,1,,,,,,,,,
10/2/17,RH2,1,3,3,4A_2,Plastic,28:54:00,6,300,300,300,,,,,9:52,9:22,4:22,5,7190,11,16809,,1,,,,,,,,,
10/2/17,RH2,1,3,4,4B_2,Plastic,28:58:00,4,4,5,7,,,,,9:52,9:22,4:22,3,7089,8,9411,,1,,,,,,,,,
10/2/17,RH2,2,3,3,4E_2,Plastic,25:13:00,7,44,239,131,,,,,9:20,8:50,3:50,0,0,6,12741,,1,,,,,,,,,
10/3/17,RH2,1,3,3,4M_2,Plastic,28:44:00,11,12,4,8,,,,,8:46,8:16,3:16,0,0,0,0,,1,,,,,,,,,
10/3/17,RH2,1,3,4,4O_2,Plastic,29:19:00,4,6,300,300,,,,,8:46,8:16,3:16,3,1710,34,36600,,1,,,,,,,,,
10/7/17,RH2,1,1,3,4A_3,Brine,31:37:00,5,6,8,300,,,,,9:49,9:19,4:19,0,0,2,7761,,1,,,,,,,,,
10/7/17,RH2,1,1,4,4B_3,Brine,32:03:00,6,20,11,NA*,,,,,9:49,9:19,4:19,0,0,0,0,,1,,,,,,,,,
10/7/17,RH2,2,1,3,4E_3,Brine,28:25:00,5,19,39,NA,,,,,9:01,8:31,3:31,0,0,1,1863,,1,,,,,,,,,
10/7/17,RH2,2,1,4,4F_3,Brine,28:54:00,9,15,122,138,,,,,9:01,8:31,3:31,1,383,5,6413,,1,,,,,,,,,
10/8/17,RH2,1,1,3,4I_3,Brine,25:31:00,113,133,300,300,,,,,8:30,8:00,3:00,0,0,0,0,,1,,,,,,,,,
10/8/17,RH2,1,1,4,4J_3,Brine,26:05:00,10,42,300,300,,,,,8:30,8:00,3:00,0,0,0,0,,1,,,,,,,,,
10/9/17,RH2,1,2,3,4A_3,Bead,30:49:00,2,3,5,170,,,,,11:09,10:39,5:39,0,0,20,68983,,1,,,,,,,,,
10/9/17,RH2,1,2,4,4B_3,Bead,31:10:00,3,6,10,13,,,,,11:09,10:39,5:39,0,0,0,0,,1,,,,,,,,,
10/9/17,RH2,2,2,4,4F_3,Bead,27:51:00,3,3,8,NA ,,,,,9:33,9:03,4:03,3,2498,12,19273,,1,,,,,,,,,
10/10/17,RH2,1,2,3,4I_3,Bead,26:42:00,4,300,300,300,,,,,9:49,9:19,4:19,8,22921,0,0,,1,,,,,,,,,
10/10/17,RH2,1,2,4,4J_3,Bead,26:35:00,3,42,300,300,,,,,9:49,9:19,4:19,4,20078,9,35489,,1,,,,,,,,,
10/11/17,RH2,1,3,3,4A_3,Plastic,29:40:00,3,3,5,NA,,,,,9:48,9:18,4:18,6,8060,13,50282,,1,,,,,,,,,
10/11/17,RH2,1,3,4,4B_3,Plastic,30:06:00,8,23,24,300,,,,,9:48,9:18,4:18,0,0,9,7030,,1,,,,,,,,,
10/11/17,RH2,2,3,4,4F_3,Plastic,27:24:00,5,12,48,300,,,,,9:28,8:58,3:58,4,4774,12,17578,,1,,,,,,,,,
8/15/17,RH2 81517,1,1,3,4A,Brine,39:37:00,5,8,12,NA,,,,,14:56,14:26,9:26,8,4842,8,4842,,1,,,,,,,,,
8/15/17,RH2 81517,1,1,4,4B,Brine,41:14:00,3,6,20,300,,,,,14:56,14:26,9:26,0,0,2,1568,,1,,,,,,,,,
8/15/17,RH2 81517,2,1,3,4E,Brine,31:05:00,5,26,80,300,,,,,10:14,9:44,4:44,7,25164,24,47543,,1,,,,,,,,,
8/15/17,RH2 81517,2,1,4,4F,Brine,31:26:00,7,13,16,18,,,,,10:14,9:44,4:44,3,1726,20,79539,,1,,,,,,,,,
8/16/17,RH2 81617,1,1,3,4I,Brine,28:57:00,5,11,300,276,,,,,10:01,9:31,4:31,26,23452,14,15231,,1,,,,,,,,,
8/16/17,RH2 81617,1,1,4,4K,Brine,29:31:00,3,4,4,5,,,,,10:01,9:31,4:31,14,54898,2,728,drop was late so this is the time that the drop in tank 3 feel because that one distrubed the whole tank so I went back from there,1,,,,,,,,,also--right around 8:42 there is a great fight
8/16/17,RH2 81617,2,1,3,4M,Brine,31:14:00,3,5,10,68,,,,,9:05,8:35,3:35,0,0,0,0,,1,,,,,,,,,
8/16/17,RH2 81617,2,1,4,4N,Brine,26:43:00,9,7,57,300,,,,,9:05,8:35,3:35,2,1201,28,131649,food is put in in two bouts I started from the first injection ,1,,,,,,,,,
8/17/17,RH2 81717,1,2,3,4A,Bead,29:05:00,3,176,300,NA,,,,,9:53,9:23,4:23,1,2745,8,15936,,1,,,,,,,,,
8/17/17,RH2 81717,1,2,4,4B,Bead,30:35:00,5,45,300,300,,,,,9:53,9:23,4:23,0,0,0,0,,1,,,,,,,,,
8/17/17,RH2 81717,2,2,4,4F,Bead,24:23:00,6,95,300,300,,,,,9:11,8:41,3:41,0,0,3,10345,,1,,,,,,,,,
8/18/17,RH3,2,2,5,8O,Bead,25:51:00,6,17,35,126,88,9,28,9,9:35,9:05,4:05,30,63771,13,19430,,1,,,,,,,,,
8/20/17,RH3,1,3,5,8O,Plastic,28:05:00,233,139,165,173,97,1,157,212,8:58,8:28,3:28,51,99414,51,98223,,1,,,,,,,,,
9/28/17,RH3,1,1,6,8B_2,Brine,35:41:00,133,16,10,56,3,300,60,70,11:23,10:53,5:53,1,471,13,15189,,1,,,,,,,,,
