date_time,camera,video,trial,tank,group_ID,treatment,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,novel_numchases,novel_timechases,,,,,,,,,,,
8/15/17,1,,1,1,2A,2,23,63,,,,,,,3,9454,,,,,,,,,,,
8/17/17,1,,2,1,2A,2,300,300,,,,,,,4,6361,,,,,,,,,,,
9/30/17,1,,2,1,2A_2,2,73,114,,,,,,,1,1415,,,,,,,,,,,
9/28/17,1,1,1,1,2A_2,2,57,300,,,,,,,1,915,,,,,,,,,,,
10/2/17,1,1,3,1,2A_2,2,86,300,,,,,,,0,0,,,,,,,,,,,
10/7/17,RH1,1,1,1,2A_3,2,9,28,,,,,,,0,0,,,,,,,,,,,
10/9/17,1,1,2,1,2A_3,2,7,9,,,,,,,0,0,,,,,,,,,,,
10/11/17,1,1,3,1,2A_3,2,5,8,,,,,,,25,118401,,,,,,,,,,,
8/15/17,1,,1,2,2B,2,11,N/A,,,,,,,0,0,,,,,,,,,,,
8/17/17,1,,2,2,2B,2,55,N/A,,,,,,,0,0,,,,,,,,,,,
8/19/17,1,,3,2,2B,2,2,N/A,,,,,,,0,0,,,,,,,,,,,
9/30/17,1,,2,2,2B_2,2,48,N/A,,,,,,,2,21168,,,,,,,,,,,
9/28/17,1,1,1,2,2B_2,2,32,119,,,,,,,12,35665,,,,,,,,,,,
10/2/17,1,1,3,2,2B_2,2,62,300,,,,,,,2,6267,Weird stand offs,,,,,,,,,,
10/7/17,RH1,1,1,2,2B_3,2,13,14,,,,,,,11,44366,,,,,,,,,,,
10/9/17,1,1,2,2,2B_3,2,109,N/A,,,,,,,4,10202,,,,,,,,,,,
10/11/17,1,1,3,2,2B_3,2,5,7,,,,,,,11,34044,,,,,,,,,,,
8/15/17,4,,1,7,2C,2,7,300,,,,,,,1,606,,,,,,,,,,,
8/17/17,4,,2,7,2C,2,22,Cam Malfnctn,,,,,,,,,*Only see one fish which doesn't eat in the video where the food is dropped,,,,,,,,,,
