Trial,Tank,Group,Food_given,Leftover_food,Leftover_novel,Group_size,,,,,,,
1,3,4A,8,4,0,4,,,,,,,
1,4,4B,8,3,0,4,,,,,,,
1,5,8B,16,3,0,8,,,,,,,
1,6,8D,16,16,1,8,,,,,,,
1,11,8E,16,4,0,8,,,,,,,
1,12,8G,16,11,0,8,,,,,,,
1,3,4E,8,4,0,4,,,,,,,
1,4,4F,8,5,0,4,,,,,,,
1,6,8F,16,12,3,8,,,,,,,
1,1,2E,4,2,2,2,,,,,,,
1,2,2F,4,2,4,2,,,,,,,
1,7,2H,4,3,0,2,,,,,,,
1,8,2G,4,3,0,2,,,,,,,
1,1,2A,4,3,3,2,,,,,,,
1,2,2B,4,4,4,2,,,,,,,
1,7,2C,4,4,2,2,,,,,,,
1,8,2D,4,3,0,2,,,,,,,
1,9,4C,8,1,0,4,,,,,,,
1,10,4D,8,2,1,4,,,,,,,
1,1,2I,4,3,0,2,,,,,,,
1,2,2J,4,2,0,2,,,,,,,
1,3,4I,8,4,0,4,,,,,,,
1,4,4K,8,4,0,4,,,,,,,
1,9,4L,8,2.5,0,4,,,,,,,
1,10,4J,8,5,1.5,4,,,,,,,
1,11,8K,16,10,5,8,,,,,,,
1,12,8L,16,13,0,8,,,,,,,
1,1,2M,4,4,0,2,,,,,,,
1,2,2N,4,2,1,2,,,,,,,
1,3,4M,8,3,0,4,,,,,,,
1,4,4N,8,8,0,4,,,,,,,
1,5,8J,16,11,1,8,,,,,,,
1,6,8I,16,9,3,8,,,,,,,
1,9,4O,8,7,5,4,,,,,,,
1,10,4P,8,8,0,4,,,,,,,
1,5,8O,16,12,0,8,,,,,,,
1,6,8P,16,13,1,8,,,,,,,
1,7,2K,4,3,0,2,,,,,,,
1,8,2L,4,3,0,2,,,,,,,
1,7,2O,4,3,0,2,,,,,,,
1,8,2P,4,2,5.5,2,,,,,,,
2,1,2A,4,0,4,2,,,,,,,
2,2,2B,4,0,4,2,,,,,,,
2,3,4A,8,0,8,4,,,,,,,
2,4,4B,8,1,7,4,,,,,,,
2,6,8D,16,2,15,8,,,,,,,
2,4,4F,8,6,8,4,,,,,,,
2,6,8F,16,8,16,8,,,,,,,
2,7,2H,4,2,4,2,,,,,,,
2,8,2G,4,3,4,2,,,,,,,
2,9,4C,8,0,8,4,,,,,,,
2,10,4D,8,0,8,4,,,,,,,
2,11,8E,16,0,16,8,,,,,,,
2,12,8G,16,4,16,8,,,,,,,
2,7,2C,4,2,4,2,,,,,,,
2,8,2D,4,4,4,2,,,,,,,
2,2,2J,4,0,4,2,,,,,,,
2,4,4K,8,3,8,4,,,,,,,
2,8,2L,4,1,4,2,,,,,,,
2,9,4L,8,0,7,4,,,,,,,
2,10,4J,8,1,8,4,,,,,,,
2,11,8K,16,4,1,8,,,,,,,
2,12,8L,16,4,16,8,,,,,,,
2,1,2M,4,1,4,2,,,,,,,
2,2,2N,4,3,4,2,,,,,,,
2,4,4N,8,6,8,4,,,,,,,
2,5,8O,16,9,16,8,,,,,,,
2,7,2O,4,3,4,2,,,,,,,
2,8,2P,4,2,4,2,,,,,,,
3,2,2B,4,3,NA,2,,,,,,,
3,3,4A,8,0,NA,4,,,,,,,
3,6,8F,16,3,NA,8,,,,,,,
3,7,2C,4,2,NA,2,,,,,,,
3,8,2D,4,4,NA,2,,,,,,,
3,9,4C,8,0,NA,4,,,,,,,
3,10,4D,8,2,NA,4,,,,,,,
3,11,8E,16,1,NA,8,,,,,,,
3,12,8G,16,3,NA,8,,,,,,,
3,7,2H,4,2,NA,2,,,,,,,
3,8,2G,4,2,NA,2,,,,,,,
3,2,2J,4,2,NA,2,,,,,,,
3,4,4K,8,0,NA,4,,,,,,,
3,5,8O,16,8,NA,8,,,,,,,
3,8,2L,4,2,NA,2,,,,,,,
3,12,8L,16,3,NA,8,,,,,,,
3,1,2M,4,3,NA,2,,,,,,,
3,2,2N,4,3,NA,2,,,,,,,
3,4,4N,8,6,NA,4,,,,,,,
3,7,2O,4,2,NA,2,,,,,,,
3,8,2P,4,0,NA,2,,,,,,,
3,10,4J,8,1,NA,4,,,,,,,
1,1,2A_2,4,1,0,2,,,,,,,
1,2,2B_2,4,0,0,2,,,,,,,
1,3,4A_2,8,0,6,4,,,,,,,
1,4,4B_2,8,4,3,4,,,,,,,
1,6,8B_2,16,9,6,8,,,,,,,
1,11,8C_2,16,4,0,8,,,,,,,
1,12,8D_2,16,2,0,8,,,,,,,
