Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Novel Start,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,,,,,,,,,
9/30/17,RH1,1,2,2,2B_2,Bead,29:22:00,2,300,,,,,,,,,,,,,,,
9/30/17,RH2,2,2,4,4F_2,Bead,31:46:00,2,4,300,300,,,,,,,,,,,,,
10/9/17,RH2,1,2,3,4A_3,Bead,30:49:00,2,3,5,170,,,,,,,,,,,,,
10/3/17,RH4,1,3,7,2L_2,Plastic,28:47:00,2,300,,,,,,,,,,,,,,,
8/15/17,RH4 81517,3,1,7,2H,Brine,31:47:00,2,51,,,,,,,,,,,,,,,
8/20/17,RH2,2,3,4,4N,Plastic,22:51,3,14,26,91,,,,,,,,,,,,,
9/28/17,RH2,2,1,4,4F_2,Brine,30:32:00,3,4,12,43,,,,,,,,,,,,,
9/30/17,RH2,2,2,3,4E_2,Bead,31:31:00,3,6,10,5,,,,,,,,,,,,,
10/1/17,RH2,2,2,3,4M_2,Bead,30:05:00,3,8,11,81,,,,,,,,,,,,,
10/1/17,RH2,2,2,4,4O_2,Bead,30:26:00,3,4,90,227,,,,,,,,,,,,,
10/9/17,RH2,1,2,4,4B_3,Bead,31:10:00,3,6,10,13,,,,,,,,,,,,,
10/9/17,RH2,2,2,4,4F_3,Bead,27:51:00,3,3,8,NA ,,,,,,,,,,,,,
10/10/17,RH2,1,2,4,4J_3,Bead,26:35:00,3,42,300,300,,,,,,,,,,,,,
10/11/17,RH2,1,3,3,4A_3,Plastic,29:40:00,3,3,5,NA,,,,,,,,,,,,,
8/15/17,RH2 81517,1,1,4,4B,Brine,41:14:00,3,6,20,300,,,,,,,,,,,,,
8/16/17,RH2 81617,1,1,4,4K,Brine,29:31:00,3,4,4,5,,,,,,,,,,,,,also--right around 8:42 there is a great fight
8/16/17,RH2 81617,2,1,3,4M,Brine,31:14:00,3,5,10,68,,,,,,,,,,,,,
8/17/17,RH2 81717,1,2,3,4A,Bead,29:05:00,3,176,300,NA,,,,,,,,,,,,,
8/19/17,RH4,1,3,8,2D,Plastic,33:57:00,3,32,,,,,,,,,,,,,,,
10/2/17,RH4,2,3,7,2G_2,Plastic,25:11:00,3,29,,,,,,,,,,,,,,,
10/3/17,RH4,1,3,8,2M_2,Plastic,28:17:00,3,26,,,,,,,,,,,,,,,
8/15/17,RH4 81517,3,1,8,2G,Brine,29:52:00,3,44,,,,,,,,,,,,,,,
10/2/17,RH1,1,3,2,2B_2,Plastic,29:05:00,4,300,,,,,,,,,,,,,,,
10/9/17,RH1,2,2,2,2F_3,Bead,29:11:00,4,300,,,,,,,,,,,,,,,
10/11/17,RH1,1,3,2,2B_3,Plastic,29:32:00,4,76,,,,,,,,,,,,,,,
10/11/17,RH1,2,3,2,2F_3,Plastic,27:15:00,4,300,,,,,,,,,,,,,,,
8/18/17,RH2,1,2,4,4K,Bead,27:42:00,4,12,300,300,,,,,,,,,,,,,
8/19/17,RH2,1,3,3,4A,Plastic,30:30:00,4,6,NA,NA,,,,,,,,,,,,,
9/28/17,RH2,1,1,4,4B_2,Brine,35:08:00,4,6,10,82,,,,,,,,,,,,,
9/29/17,RH2,2,1,3,4M_2,Brine,29:16:00,4,4,234,133,,,,,,,,,,,,,
9/30/17,RH2,1,2,4,4B_2,Bead,31:08:00,4,4,139,16,,,,,feed tube is untaped,,,,,,,,
10/2/17,RH2,1,3,4,4B_2,Plastic,28:58:00,4,4,5,7,,,,,,,,,,,,,
10/3/17,RH2,1,3,4,4O_2,Plastic,29:19:00,4,6,300,300,,,,,,,,,,,,,
10/10/17,RH2,1,2,3,4I_3,Bead,26:42:00,4,300,300,300,,,,,,,,,,,,,
9/28/17,RH1,1,1,2,2B_2,Brine,34:03:00,5,300,,,,,,,,,,,,,,,
9/29/17,RH1,3,1,1,2N_2,Brine,28:42:00,5,31,,,,,,,,,,,,,,,
10/1/17,RH1,1,2,2,2J_2,Bead,29:52:00,5,300,,,,,,,,,,,,,,,
10/7/17,RH1,2,1,2,2F_3,Brine,29:44:00,5,300,,,,,,,,,,,,,,,
8/17/17,RH1 81717,2,2,8,2G,Bead,23:43,5,300,,,,,,,,,,,,,,,
8/20/17,RH2,1,3,4,4K,Plastic,26:09:00,5,5,21,49,,,,,,,,,,,,,
9/28/17,RH2,2,1,3,4E_2,Brine,30:03:00,5,6,8,12,,,,,,,,,,,,,
9/29/17,RH2,1,1,4,4J_2,Brine,37:07:00,5,30,300,300,,,,,,,,,,,,,
10/7/17,RH2,1,1,3,4A_3,Brine,31:37:00,5,6,8,300,,,,,,,,,,,,,
10/7/17,RH2,2,1,3,4E_3,Brine,28:25:00,5,19,39,NA,,,,,,,,,,,,,
10/11/17,RH2,2,3,4,4F_3,Plastic,27:24:00,5,12,48,300,,,,,,,,,,,,,
8/15/17,RH2 81517,1,1,3,4A,Brine,39:37:00,5,8,12,NA,,,,,,,,,,,,,
8/15/17,RH2 81517,2,1,3,4E,Brine,31:05:00,5,26,80,300,,,,,,,,,,,,,
8/16/17,RH2 81617,1,1,3,4I,Brine,28:57:00,5,11,300,276,,,,,,,,,,,,,
8/17/17,RH2 81717,1,2,4,4B,Bead,30:35:00,5,45,300,300,,,,,,,,,,,,,
8/20/17,RH4,2,3,8,2P,Plastic,24:02:00,5,21,,,,,,,,,,,,,,,
10/1/17,RH4,2,2,7,2P_2,Bead,29:12:00,5,300,,,,,,,,,,,,,,,
8/16/17,RH4 81617,"1,2",1,8,2L,Brine,30:08:00,5,12,,,,,,,,,,,,,,,
10/11/17,RH1,1,3,1,2A_3,Plastic,28:58:00,6,11,,,,,,,,,,,,,,,
8/18/17,RH2,2,2,4,4N,Bead,24:57:00,6,10,7,40,,,,,,,,,,,,,
9/28/17,RH2,1,1,3,4A_2,Brine,34:24:00,6,15,300,300,,,,,,,,,,,,,
10/2/17,RH2,1,3,3,4A_2,Plastic,28:54:00,6,300,300,300,,,,,,,,,,,,,
10/7/17,RH2,1,1,4,4B_3,Brine,32:03:00,6,20,11,NA*,,,,,,,,,,,,,
8/17/17,RH2 81717,2,2,4,4F,Bead,24:23:00,6,95,300,300,,,,,,,,,,,,,
9/29/17,RH4,2,1,7,2P_2,Brine,29:49:00,6,300,,,,,,,coded as video 3 but I think it must be video 2,,,,,,,,
10/2/17,RH4,1,3,8,2D_2,Plastic,30:05:00,6,300,,,,,,,,,,,,,,,
8/15/17,RH6 81517,1,1,11,8E,Brine,30:40:00,6,10,16,NA,,,,,,,,,,,,,
8/18/17,RH1,2,2,2,2N,Bead,25:00:00,7,32,,,,,,,,,,,,,,,
9/28/17,RH1,1,1,1,2A_2,Brine,33:25:00,7,76,,,,,,,,,,,,,,,
10/3/17,RH1,1,3,2,2J_2,Plastic,28:40:00,7,300,,,,,,,,,,,,,,,
10/7/17,RH1,1,1,1,2A_3,Brine,29:36:00,7,300,,,,,,,,,,,,,,,
10/9/17,RH1,1,2,1,2A_3,Bead,30:42:00,7,300,,,,,,,,,,,,,,,
8/16/17,RH1 81617,1,1,1,2I,Brine,29:05:00,7,103,,,,,,,,,,,,,,,
10/2/17,RH2,2,3,3,4E_2,Plastic,25:13:00,7,44,239,131,,,,,,,,,,,,,
8/15/17,RH2 81517,2,1,4,4F,Brine,31:26:00,7,13,16,18,,,,,,,,,,,,,
10/3/17,RH4,2,3,7,2P_2,Plastic,27:49:00,7,21,,,,,,,,,,,,,,,
